,open,close,high,low,volume,money
2019/7/12 10:30,3783.07,3800.12,3816.23,3774.52,3123433100,43679028086
2019/7/12 11:30,3799.86,3811.57,3818.79,3791.05,1474028300,20093777214
2019/7/12 14:00,3811.41,3819.89,3820,3804.25,1256328900,18554460952
2019/7/12 15:00,3820.22,3808.73,3820.22,3808.31,1692806400,24680657612
2019/7/15 10:30,3792.64,3793.84,3793.9,3745.85,4043365000,57471889558
2019/7/15 11:30,3794.57,3842.05,3843.11,3794.57,2482629800,34055353123
2019/7/15 14:00,3842.07,3821.41,3844.67,3814,1794826300,26044170757
2019/7/15 15:00,3821.29,3824.19,3824.19,3809.19,1799701100,24921633062
2019/7/16 10:30,3819.25,3810.93,3828.24,3810.16,3051611000,42325732885
2019/7/16 11:30,3809.9,3811.1,3814.65,3802.99,1859358200,24871595283
2019/7/16 14:00,3810.94,3806.73,3811.73,3799.87,1457573400,19056055063
2019/7/16 15:00,3806.86,3806.84,3811.88,3802.08,1704552600,22196299444
2019/7/17 10:30,3800.11,3812.59,3820.23,3787.99,3488165500,41987054398
2019/7/17 11:30,3812.61,3812.42,3812.8,3801.81,2327909100,27028178323
2019/7/17 14:00,3813.38,3811.48,3819.26,3809.93,1737431200,22996677214
2019/7/17 15:00,3811.45,3804.64,3812.04,3801.15,1964882700,24754871099
2019/7/18 10:30,3793.19,3780.14,3793.39,3773.61,3724197700,47486322069
2019/7/18 11:30,3780.62,3781.8,3791.22,3777.87,1515695100,19171178649
2019/7/18 14:00,3781.08,3777.55,3781.08,3772.1,1376285100,17767002392
2019/7/18 15:00,3777.72,3768.4,3787.75,3768,2133466600,27244862266
2019/7/19 10:30,3787.51,3813.51,3828.07,3787.51,4012505100,54263630042
2019/7/19 11:30,3813.58,3815.95,3822.87,3812.33,1457177700,19914749836
2019/7/19 14:00,3816.44,3802.68,3817.53,3799.5,1408982600,18514554996
2019/7/19 15:00,3803.09,3807.96,3808.5,3801.15,1929949500,25104593187
2019/7/22 10:30,3813.5,3798.45,3816.54,3765.44,3991495600,51731778256
2019/7/22 11:30,3798.35,3807.03,3810.61,3786.27,1891492900,23471385316
2019/7/22 14:00,3806.08,3798.58,3806.08,3794.56,1341273200,17300136873
2019/7/22 15:00,3798.28,3781.68,3798.88,3781.53,1985876000,25307147595
2019/7/23 10:30,3783.54,3785.63,3792.96,3774.35,2557859800,38332460734
2019/7/23 11:30,3785.36,3777.38,3785.36,3768.76,1343218700,21210217150
2019/7/23 14:00,3777.55,3786.15,3786.46,3772.81,1336146100,18596696671
2019/7/23 15:00,3786.32,3789.91,3791.5,3785.51,1894110000,25727234101
2019/7/24 10:30,3803.59,3832.25,3840.06,3803.57,3903808400,55488477421
2019/7/24 11:30,3832.22,3828.8,3838.08,3827.65,1683173200,24876130226
2019/7/24 14:00,3828.85,3820.24,3829.99,3819.97,1504158800,22138138324
