,open,close,high,low,volume,money
2019/7/12,3783.07,3808.73,3820.24,3774.52,7546596700,1.07E+11
2019/7/15,3792.64,3824.19,3844.87,3745.85,10120522200,1.42E+11
2019/7/16,3819.25,3806.84,3828.33,3799.87,8073095200,1.08E+11
2019/7/17,3800.11,3804.64,3820.27,3787.9,9518388500,1.17E+11
2019/7/18,3793.19,3768.4,3793.39,3768,8749644500,1.12E+11
2019/7/19,3787.51,3807.96,3828.15,3787.51,8808614900,1.18E+11
2019/7/22,3813.5,3781.68,3816.54,3765.44,9210137700,1.18E+11
2019/7/23,3783.54,3789.91,3792.96,3768.76,7131334600,1.04E+11
2019/7/24,3803.59,3819.83,3840.06,3803.57,9094068400,1.30E+11
2019/7/25,3821.39,3851.07,3851.07,3812.95,9374041700,1.26E+11
2019/7/26,3835.23,3858.57,3863.59,3832.52,8325930000,1.11E+11
2019/7/29,3857.94,3854.27,3862.75,3842.43,8481437000,1.12E+11
2019/7/30,3861.57,3870.32,3890.73,3861.57,9412395500,1.20E+11
2019/7/31,3856.74,3835.36,3856.74,3830.09,8215115500,1.11E+11
2019/8/1,3819.32,3803.47,3831.26,3791.55,8411418000,1.18E+11
2019/8/2,3729.13,3747.44,3754.53,3720.06,10833589700,1.42E+11
2019/8/5,3724.41,3675.69,3739.5,3675.69,10132598100,1.33E+11
2019/8/6,3609.11,3636.33,3649.9,3575.86,12983387100,1.67E+11
2019/8/7,3654.63,3621.43,3659.08,3621.43,8423871600,1.09E+11
2019/8/8,3651.36,3669.29,3675.46,3646.94,8845770700,1.15E+11
2019/8/9,3686.75,3633.53,3689.18,3628.12,8529558000,1.16E+11
2019/8/12,3647.87,3699.1,3699.1,3643.32,8208305600,1.21E+11
2019/8/13,3675.59,3665.75,3686.43,3658.01,7650030200,1.04E+11
2019/8/14,3712.07,3682.4,3717.56,3680.61,9120259000,1.28E+11
2019/8/15,3618.01,3694,3694.3,3612.11,8859883200,1.19E+11
2019/8/16,3697.94,3710.54,3738.1,3687.08,8831916900,1.33E+11
2019/8/19,3736.03,3791.09,3791.09,3720.69,13932701300,1.95E+11
2019/8/20,3786.03,3787.73,3799.9,3778.73,10860208800,1.49E+11
2019/8/21,3778.31,3781.76,3792.6,3775.45,8229988000,1.22E+11
2019/8/22,3793.86,3793.51,3797.33,3771.2,8580779200,1.21E+11
2019/8/23,3796.88,3820.86,3829.36,3788.03,8795458300,1.38E+11
2019/8/26,3756.36,3765.91,3778.87,3753.16,9385926900,1.42E+11
2019/8/27,3791.46,3816.95,3848.24,3790.87,12473147800,1.82E+11
2019/8/28,3818.81,3802.58,3822.59,3790.14,8875081200,1.38E+11
2019/8/29,3805.49,3790.19,3808.6,3774.4,8408338700,1.26E+11
2019/8/30,3816.68,3799.59,3828.97,3778.92,9669515000,1.52E+11
2019/9/2,3803.69,3848.32,3855.78,3799.82,11028934900,1.65E+11
2019/9/3,3852.58,3853.61,3856.68,3833.76,9771463100,1.46E+11
2019/9/4,3848.65,3886,3886,3846.42,12662861500,1.77E+11
2019/9/5,3909.21,3925.32,3970,3909.21,18165623100,2.45E+11
2019/9/6,3946.69,3948.51,3948.54,3922.34,12188237600,1.82E+11
2019/9/9,3980.96,3972.95,3985.24,3954.88,14680975400,2.10E+11
2019/9/10,3976.87,3959.27,3976.92,3938.74,13088938600,1.84E+11
2019/9/11,3969.68,3930.1,3971.22,3922.95,13159487500,1.90E+11
2019/9/12,3944.69,3972.38,3975.93,3933.44,11024127300,1.57E+11
2019/9/16,3981.36,3957.72,3982.2,3943.37,11025980500,1.55E+11
2019/9/17,3947.16,3891.22,3947.16,3879.49,11369431700,1.55E+11
2019/9/18,3902.99,3910.08,3923.15,3902.51,8205615200,1.30E+11
2019/9/19,3923.96,3924.38,3924.38,3897.07,8598423800,1.27E+11
2019/9/20,3933.46,3935.65,3942.22,3921.41,10345595500,1.53E+11
2019/9/23,3925.19,3890.66,3925.19,3868.21,9403622500,1.39E+11
2019/9/24,3895.87,3901.08,3927.01,3886.14,8778323000,1.42E+11
2019/9/25,3887.55,3870.98,3889.84,3867.23,8952083500,1.33E+11
2019/9/26,3884.7,3841.14,3890.75,3840.25,10269830100,1.51E+11
2019/9/27,3843.46,3852.65,3859.5,3832.25,7400394700,1.09E+11
2019/9/30,3842.07,3814.53,3857.23,3813.55,6593131300,1.00E+11
2019/10/8,3818.59,3837.68,3861.64,3818.59,7665786000,1.18E+11
2019/10/9,3822.61,3843.24,3845.34,3805.07,7585451200,1.12E+11
2019/10/10,3838.49,3874.64,3877.14,3829.43,7922269400,1.27E+11
2019/10/11,3885.52,3911.73,3922.37,3868.84,9341257700,1.40E+11
2019/10/14,3944.86,3953.24,3983.81,3934.73,12239361100,1.68E+11
2019/10/15,3953.16,3936.25,3953.16,3928.15,8527394900,1.25E+11
2019/10/16,3939.28,3922.69,3964.05,3919.02,8322970700,1.29E+11
2019/10/17,3929.39,3925.22,3935.81,3913.92,6486374500,99991850409
2019/10/18,3935.42,3869.38,3940.54,3864.97,8232114000,1.22E+11
2019/10/21,3865.34,3880.84,3884.74,3856.04,7418291800,1.11E+11
2019/10/22,3896.31,3895.88,3897.44,3870.55,6891856600,1.03E+11
2019/10/23,3892.68,3871.08,3901.42,3862.2,7019862500,99733598353
2019/10/24,3877.92,3870.67,3890.2,3852.58,7133457500,1.05E+11
2019/10/25,3871.77,3896.79,3899.72,3849.03,7745362000,1.27E+11
2019/10/28,3904.98,3926.59,3927.8,3897.82,9740602000,1.51E+11
2019/10/29,3929.71,3910.23,3932.37,3910.23,8225707500,1.40E+11
2019/10/30,3904.72,3891.23,3908.1,3883.45,7787292300,1.23E+11
2019/10/31,3906.86,3886.75,3907.15,3878.88,8671453900,1.35E+11
2019/11/1,3883.81,3952.39,3956.08,3876.42,10068961200,1.51E+11
2019/11/4,3964.01,3978.12,3985.36,3964.01,10419385500,1.54E+11
